learner_id,learner_label,occupational_domain,study_week,week_start,learner_messages,instructor_messages,total_messages,avg_learner_word_count,english_messages,english_proportion,disruption_count,disruption_flag,apology_uncertainty_count,apology_uncertainty_rate,correction_count,gt_correction_count,correction_density
L004,Adult learner 04,Technology / software,3,2024-03-04,4,10,14,11.75,4,1.0,0,0,0,0.0,0,1,0.0
L004,Adult learner 04,Technology / software,4,2024-03-11,3,9,12,27.67,3,1.0,1,1,1,0.3333,0,1,0.0
L004,Adult learner 04,Technology / software,5,2024-03-18,3,12,15,16,3,1.0,0,0,0,0.0,0,2,0.0
L004,Adult learner 04,Technology / software,6,2024-03-25,3,11,14,10.33,3,1.0,1,1,1,0.3333,0,1,0.0
L004,Adult learner 04,Technology / software,7,2024-04-01,4,12,16,11,4,1.0,1,1,1,0.25,0,0,0.0
L004,Adult learner 04,Technology / software,8,2024-04-08,3,10,13,13,3,1.0,1,1,1,0.3333,0,2,0.0
L004,Adult learner 04,Technology / software,9,2024-04-15,8,17,25,6.25,6,0.75,0,0,0,0.0,0,1,0.0
L004,Adult learner 04,Technology / software,10,2024-04-22,3,11,14,7.33,2,0.6667,0,0,0,0.0,0,2,0.0
L004,Adult learner 04,Technology / software,11,2024-04-29,1,10,11,12,1,1.0,1,1,1,1.0,0,1,0.0
L004,Adult learner 04,Technology / software,13,2024-05-17,2,5,7,19,1,0.5,1,1,1,0.5,0,1,0.0
L004,Adult learner 04,Technology / software,14,2024-05-20,4,7,11,22.5,4,1.0,1,1,4,1.0,0,0,0.0
L004,Adult learner 04,Technology / software,15,2024-05-27,3,14,17,11.33,3,1.0,0,0,0,0.0,0,2,0.0
L004,Adult learner 04,Technology / software,16,2024-06-03,3,11,14,9,3,1.0,0,0,0,0.0,0,2,0.0
L004,Adult learner 04,Technology / software,17,2024-06-10,2,10,12,9,2,1.0,0,0,0,0.0,0,1,0.0
L004,Adult learner 04,Technology / software,18,2024-06-17,9,13,22,12.22,9,1.0,3,1,3,0.3333,0,1,0.0
L004,Adult learner 04,Technology / software,19,2024-06-24,7,12,19,5.71,7,1.0,0,0,1,0.1429,0,1,0.0
L004,Adult learner 04,Technology / software,20,2024-07-01,3,12,15,12,3,1.0,1,1,0,0.0,0,2,0.0
L004,Adult learner 04,Technology / software,21,2024-07-08,5,13,18,6.2,5,1.0,0,0,0,0.0,1,0,0.0769
L004,Adult learner 04,Technology / software,22,2024-07-15,4,8,12,19.75,4,1.0,0,0,2,0.5,1,0,0.125
L004,Adult learner 04,Technology / software,23,2024-07-22,2,10,12,7.5,2,1.0,1,1,1,0.5,1,0,0.1
L004,Adult learner 04,Technology / software,25,2024-08-05,5,13,18,9.2,3,0.6,1,1,0,0.0,1,0,0.0769
L004,Adult learner 04,Technology / software,26,2024-08-12,9,15,24,6.78,9,1.0,0,0,2,0.2222,1,0,0.0667
L004,Adult learner 04,Technology / software,28,2024-08-26,7,14,21,13.14,6,0.8571,2,1,1,0.1429,1,0,0.0714
L004,Adult learner 04,Technology / software,29,2024-09-08,2,6,8,16.5,2,1.0,0,0,0,0.0,1,0,0.1667
L004,Adult learner 04,Technology / software,30,2024-09-15,6,8,14,7.67,6,1.0,0,0,3,0.5,0,0,0.0
L004,Adult learner 04,Technology / software,32,2024-09-27,2,2,4,17.5,2,1.0,0,0,1,0.5,0,0,0.0
L004,Adult learner 04,Technology / software,33,2024-09-30,4,11,15,10,4,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,34,2024-10-07,5,14,19,10.6,5,1.0,1,1,1,0.2,2,0,0.1429
L004,Adult learner 04,Technology / software,35,2024-10-14,2,11,13,14.5,2,1.0,0,0,0,0.0,2,0,0.1818
L004,Adult learner 04,Technology / software,36,2024-10-27,3,6,9,8,3,1.0,0,0,1,0.3333,1,0,0.1667
L004,Adult learner 04,Technology / software,37,2024-11-03,11,12,23,10.9,10,0.9091,0,0,2,0.1818,0,0,0.0
L004,Adult learner 04,Technology / software,38,2024-11-10,3,5,8,3.5,1,0.3333,0,0,0,0.0,1,0,0.2
L004,Adult learner 04,Technology / software,39,2024-11-17,8,6,14,3.38,3,0.375,0,0,0,0.0,1,0,0.1667
L004,Adult learner 04,Technology / software,40,2024-11-24,4,6,10,5,3,0.75,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,41,2024-11-26,5,7,12,5.75,4,0.8,0,0,0,0.0,1,0,0.1429
L004,Adult learner 04,Technology / software,43,2024-12-13,5,8,13,6.8,4,0.8,1,1,1,0.2,0,0,0.0
L004,Adult learner 04,Technology / software,44,2024-12-16,7,11,18,5.14,7,1.0,0,0,0,0.0,2,0,0.1818
L004,Adult learner 04,Technology / software,45,2024-12-23,4,14,18,9.75,4,1.0,0,0,0,0.0,1,0,0.0714
L004,Adult learner 04,Technology / software,46,2025-01-03,5,8,13,8.8,5,1.0,2,1,1,0.2,0,0,0.0
L004,Adult learner 04,Technology / software,47,2025-01-06,9,12,21,15.78,9,1.0,0,0,3,0.3333,0,0,0.0
L004,Adult learner 04,Technology / software,48,2025-01-13,8,13,21,12.75,7,0.875,2,1,0,0.0,2,0,0.1538
L004,Adult learner 04,Technology / software,49,2025-01-20,5,14,19,12.8,5,1.0,0,0,0,0.0,2,0,0.1429
L004,Adult learner 04,Technology / software,50,2025-01-31,2,5,7,10.5,2,1.0,0,0,0,0.0,1,0,0.2
L004,Adult learner 04,Technology / software,51,2025-02-03,4,10,14,16.75,4,1.0,1,1,2,0.5,0,0,0.0
L004,Adult learner 04,Technology / software,52,2025-02-10,3,12,15,5.33,3,1.0,0,0,0,0.0,2,0,0.1667
L004,Adult learner 04,Technology / software,53,2025-02-17,7,21,28,12.14,7,1.0,2,1,2,0.2857,2,0,0.0952
L004,Adult learner 04,Technology / software,54,2025-02-24,9,27,36,10.71,7,0.7778,2,1,1,0.1111,1,0,0.037
L004,Adult learner 04,Technology / software,55,2025-03-03,5,15,20,13.8,5,1.0,1,1,1,0.2,0,0,0.0
L004,Adult learner 04,Technology / software,56,2025-03-10,5,18,23,15.2,5,1.0,0,0,1,0.2,2,0,0.1111
L004,Adult learner 04,Technology / software,57,2025-03-17,24,42,66,7.26,21,0.875,0,0,4,0.1667,2,0,0.0476
L004,Adult learner 04,Technology / software,58,2025-03-24,7,12,19,8.14,7,1.0,2,1,2,0.2857,0,0,0.0
L004,Adult learner 04,Technology / software,59,2025-03-31,5,12,17,19.8,5,1.0,2,1,2,0.4,0,0,0.0
L004,Adult learner 04,Technology / software,60,2025-04-07,3,17,20,7.33,3,1.0,0,0,0,0.0,2,0,0.1176
L004,Adult learner 04,Technology / software,61,2025-04-14,11,33,44,17.27,11,1.0,1,1,1,0.0909,3,0,0.0909
L004,Adult learner 04,Technology / software,62,2025-04-21,1,11,12,8,1,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,63,2025-04-28,3,12,15,10.33,3,1.0,1,1,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,64,2025-05-07,0,12,12,,0,,0,0,0,,1,0,0.0833
L004,Adult learner 04,Technology / software,65,2025-05-12,5,24,29,7.4,5,1.0,1,1,0,0.0,3,0,0.125
L004,Adult learner 04,Technology / software,66,2025-05-19,15,33,48,11.4,15,1.0,1,1,2,0.1333,0,0,0.0
L004,Adult learner 04,Technology / software,67,2025-05-26,6,21,27,12.67,6,1.0,0,0,0,0.0,1,0,0.0476
L004,Adult learner 04,Technology / software,68,2025-06-02,5,16,21,9.2,5,1.0,0,0,2,0.4,1,0,0.0625
L004,Adult learner 04,Technology / software,69,2025-06-09,7,30,37,6,7,1.0,0,0,0,0.0,1,0,0.0333
L004,Adult learner 04,Technology / software,70,2025-06-16,12,23,35,12.08,12,1.0,1,1,3,0.25,0,0,0.0
L004,Adult learner 04,Technology / software,71,2025-06-23,13,27,40,11.33,12,0.9231,4,1,2,0.1538,2,0,0.0741
L004,Adult learner 04,Technology / software,72,2025-06-30,7,22,29,18.71,7,1.0,2,1,0,0.0,2,0,0.0909
L004,Adult learner 04,Technology / software,73,2025-07-07,7,26,33,8.29,7,1.0,1,1,0,0.0,1,0,0.0385
L004,Adult learner 04,Technology / software,74,2025-07-14,10,25,35,18.67,9,0.9,3,1,1,0.1,1,0,0.04
L004,Adult learner 04,Technology / software,75,2025-07-21,9,20,29,10.56,9,1.0,1,1,2,0.2222,1,0,0.05
L004,Adult learner 04,Technology / software,76,2025-07-28,5,20,25,17.4,5,1.0,1,1,0,0.0,1,0,0.05
L004,Adult learner 04,Technology / software,77,2025-08-04,6,21,27,17.67,5,0.8333,1,1,2,0.3333,0,0,0.0
L004,Adult learner 04,Technology / software,78,2025-08-11,13,32,45,10.23,13,1.0,4,1,2,0.1538,1,0,0.0312
L004,Adult learner 04,Technology / software,79,2025-08-18,13,22,35,5.69,13,1.0,1,1,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,80,2025-08-25,8,20,28,18.57,7,0.875,1,1,1,0.125,2,0,0.1
L004,Adult learner 04,Technology / software,81,2025-09-01,8,20,28,7.62,8,1.0,1,1,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,82,2025-09-08,12,32,44,10.7,9,0.75,0,0,1,0.0833,1,0,0.0312
L004,Adult learner 04,Technology / software,83,2025-09-15,3,14,17,12,3,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,84,2025-09-22,3,12,15,12,3,1.0,0,0,0,0.0,1,0,0.0833
L004,Adult learner 04,Technology / software,85,2025-09-29,4,15,19,8.5,4,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,86,2025-10-10,7,14,21,8.57,7,1.0,0,0,1,0.1429,1,0,0.0714
L004,Adult learner 04,Technology / software,87,2025-10-13,1,12,13,1,1,1.0,0,0,0,0.0,2,0,0.1667
L004,Adult learner 04,Technology / software,88,2025-10-20,2,9,11,9,2,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,89,2025-10-27,8,18,26,12.75,8,1.0,1,1,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,90,2025-11-03,5,17,22,5.4,4,0.8,0,0,0,0.0,1,0,0.0588
L004,Adult learner 04,Technology / software,91,2025-11-10,3,16,19,13.33,3,1.0,0,0,0,0.0,1,0,0.0625
L004,Adult learner 04,Technology / software,92,2025-11-17,3,13,16,13.67,3,1.0,0,0,0,0.0,1,0,0.0769
L004,Adult learner 04,Technology / software,93,2025-11-24,4,12,16,6.75,3,0.75,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,94,2025-12-01,7,17,24,12.86,7,1.0,1,1,4,0.5714,1,0,0.0588
L004,Adult learner 04,Technology / software,95,2025-12-08,5,19,24,7.8,5,1.0,1,1,1,0.2,2,0,0.1053
L004,Adult learner 04,Technology / software,96,2025-12-15,14,30,44,7.5,14,1.0,0,0,1,0.0714,1,0,0.0333
L004,Adult learner 04,Technology / software,97,2025-12-22,8,19,27,14.14,7,0.875,0,0,2,0.25,1,0,0.0526
L004,Adult learner 04,Technology / software,98,2025-12-29,3,12,15,14.67,3,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,99,2026-01-05,5,12,17,9.8,5,1.0,0,0,1,0.2,0,0,0.0
L004,Adult learner 04,Technology / software,100,2026-01-12,7,18,25,15,5,0.7143,1,1,1,0.1429,1,0,0.0556
L004,Adult learner 04,Technology / software,101,2026-01-19,5,15,20,15.4,3,0.6,0,0,0,0.0,2,0,0.1333
L004,Adult learner 04,Technology / software,102,2026-01-26,3,17,20,13.33,3,1.0,0,0,1,0.3333,2,0,0.1176
L004,Adult learner 04,Technology / software,103,2026-02-02,2,14,16,5.5,2,1.0,0,0,0,0.0,1,0,0.0714
L004,Adult learner 04,Technology / software,104,2026-02-09,6,15,21,9,5,0.8333,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,105,2026-02-19,0,5,5,,0,,0,0,0,,1,0,0.2
L004,Adult learner 04,Technology / software,106,2026-02-23,4,17,21,14.5,4,1.0,0,0,3,0.75,1,0,0.0588
L004,Adult learner 04,Technology / software,107,2026-03-03,2,10,12,20.5,2,1.0,0,0,1,0.5,0,0,0.0
L004,Adult learner 04,Technology / software,108,2026-03-09,3,15,18,6,3,1.0,0,0,0,0.0,1,0,0.0667
L004,Adult learner 04,Technology / software,109,2026-03-16,6,20,26,9,6,1.0,2,1,1,0.1667,0,0,0.0
L004,Adult learner 04,Technology / software,110,2026-03-23,6,18,24,13.67,6,1.0,0,0,0,0.0,1,0,0.0556
L004,Adult learner 04,Technology / software,111,2026-03-30,1,9,10,5,1,1.0,0,0,1,1.0,1,0,0.1111
L004,Adult learner 04,Technology / software,112,2026-04-06,1,10,11,2,1,1.0,0,0,0,0.0,1,0,0.1
L004,Adult learner 04,Technology / software,113,2026-04-18,1,4,5,4,1,1.0,0,0,0,0.0,1,0,0.25
L004,Adult learner 04,Technology / software,114,2026-04-25,0,3,3,,0,,0,0,0,,0,0,0.0
L004,Adult learner 04,Technology / software,115,2026-05-02,1,4,5,3,1,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,116,2026-05-09,1,9,10,5,1,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,117,2026-05-16,1,4,5,2,1,1.0,0,0,0,0.0,0,0,0.0
L004,Adult learner 04,Technology / software,118,2026-05-23,2,5,7,3,2,1.0,0,0,0,0.0,0,0,0.0
